decimalLongitude,decimalLatitude,glcPrecision,glcScore,glcParsePattern,coordinateUncertaintyMeters,catalogNumber
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000039
-105.515847,36.130584,High,85,TRES RITOS,3036,TTC000040
-87.849,45.341917,Low,40,BEAR POINT,602,TTC000044
-84.694536,45.603292,High,88,VINCENT LAKE,287,TTC000045
-98.004506,31.696453,High,84,Distance EAST of  then SOUTH of HAMILTON,1867,TTC000046
-92.833333,56.916667,Low,40,SEAL RIVER,301,TTC000048
-94.166667,58.766667,Low,40,CHURCHILL,8278,TTC000048
-94.783333,59.066667,Low,40,SEAL RIVER,301,TTC000048
-79.941177,38.609279,Low,44,CHEAT MOUNTAIN,301,TTC000050
-79.846735,38.92594,Low,37,ELKINS,4652,TTC000050
-69.561438,44.76173,Medium,51,Near CANAAN,3036,TTC000051
-77.254426,38.998721,High,87,GREAT FALLS,7383,TTC000052
-77.288316,38.998165,High,87,GREAT FALLS,7383,TTC000052
-84.694536,45.603292,High,88,VINCENT LAKE,287,TTC000053
-84.437533,45.687512,Low,41,GREAT LAKES,587,TTC000054
-82.474875,38.162309,Low,37,COLEMAN,3036,TTC000056
-84.783936,45.552789,Low,39,PELLSTON,2120,TTC000058
-84.768763,45.743952,High,91,FRENCH FARM LAKE,587,TTC000059
-94.67892,18.019194,Medium,54,Near CHINAMECA,3036,TTC000062
-97.967459,20.625154,Low,37,MOLANGO,3036,TTC000062
-104.228838,32.420674,Low,39,CARLSBAD,12852,TTC000064
-107.636414,32.085092,Low,34,PARK,301,TTC000064
-80.204493,25.7501,Low,46,BRICKELL HAMMOCK,3036,TTC000065
-82.3429,27.8325,Low,34,ROCK,3036,TTC000065
-97.25086,36.109706,Medium,70,Near LAKE CARL BLACKWELL->snapped to Lake Carl Blackwell,873,TTC000066
-75.282686,39.870946,High,81,LESTER,3036,TTC000067
-77.046097,38.962035,Low,45,ROCK CREEK PARK,2289,TTC000068
-77.0572,38.899556,Low,40,ROCK CREEK,210,TTC000068
-77.057477,38.899556,Low,40,ROCK CREEK,210,TTC000068
-74.199588,40.433163,Medium,53,Near KEYPORT,2137,TTC000069
-94.475074,36.283759,High,87,Distance WSW of BENTONVILLE,12037,TTC000071
-94.48466,36.267579,Medium,52,Near GENTRY,2333,TTC000071
-93.605908,35.623205,Medium,49,Distance WSW of %BOSTON MOUNTAINS%,5568,TTC000071
-93.259144,33.911271,Medium,46,Distance WSW of %OZARK PLATEAU%,5568,TTC000071
-93.865781,35.751537,Medium,39,Distance WSW of %BOSTON%,7186,TTC000071
-94.091026,35.397931,Medium,39,Distance WSW of %OZARK%,8034,TTC000071
-105.946926,33.641721,High,85,Distance West of CARRIZOZO,Unavailable,TTC000072
-77.036366,38.895112,Low,41,WASHINGTON,13629,TTC000073
-77.0572,38.899556,Low,40,ROCK CREEK,210,TTC000073
-77.057477,38.899556,Low,40,ROCK CREEK,210,TTC000073
-105.403148,35.595243,Low,53,FALLS CREEK->snapped to Falls Creek,210,TTC000074
-105.402739,35.594752,Low,43,LAS VEGAS->snapped to Falls Creek,5030,TTC000074
-105.403148,35.595243,Low,53,FALLS CREEK->snapped to Falls Creek,210,TTC000075
-105.402739,35.594752,Low,43,LAS VEGAS->snapped to Falls Creek,5030,TTC000075
-94.80934,33.759195,High,91,Distance South of IDABEL->snapped to Waterfall Creek,15471,TTC000076
-94.804159,33.756034,Low,57,WATERFALL CREEK->snapped to Waterfall Creek,210,TTC000076
-94.625311,33.706917,High,78,Distance SOUTH of  then WEST of TOM,Unavailable,TTC000077
-82.387871,28.555272,Low,42,BROOKSVILLE,4290,TTC000078
-82.387871,28.555272,Low,42,BROOKSVILLE,4290,TTC000079
-97.492524,29.456733,Low,46,GONZALES COUNTY,48376,TTC000080
-97.452493,29.501626,Low,39,GONZALES,3586,TTC000080
-94.295018,31.22276,High,99,ANGELINA NATIONAL FOREST,1189,TTC000081
-95.011325,31.515179,Low,36,FOREST,3036,TTC000081
-95.01188,31.516012,Low,36,FOREST,3036,TTC000081
-94.906639,35.966633,High,85,Distance NorthEast of TAHLEQUAH,Unavailable,TTC000084
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000085
-83.439869,43.491343,Low,45,TUSCOLA COUNTY,44589,TTC000094
-83.439869,43.491342,Low,44,TUSCOLA COUNTY,14542,TTC000094
-83.657183,43.326413,Low,37,TUSCOLA,3036,TTC000094
-83.439869,43.491343,Low,45,TUSCOLA COUNTY,44589,TTC000095
-83.439869,43.491342,Low,44,TUSCOLA COUNTY,14542,TTC000095
-83.657183,43.326413,Low,37,TUSCOLA,3036,TTC000095
-83.439869,43.491343,Low,45,TUSCOLA COUNTY,44589,TTC000096
-83.439869,43.491342,Low,44,TUSCOLA COUNTY,14542,TTC000096
-83.657183,43.326413,Low,37,TUSCOLA,3036,TTC000096
-82.927988,43.012527,Low,36,CAPAC,2445,TTC000098
-82.927988,43.012527,Low,36,CAPAC,2445,TTC000099
-105.403148,35.595243,Low,53,FALLS CREEK->snapped to Falls Creek,210,TTC000100
-105.402739,35.594752,Low,43,LAS VEGAS->snapped to Falls Creek,5030,TTC000100
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000108
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000109
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000110
-105.515847,36.130584,Low,40,TRES RITOS,3036,TTC000111
-105.486402,36.101696,Low,39,ANGOSTURA,3036,TTC000111
-105.44168,35.647816,Low,45,TECOLOTE CANYON,1506,TTC000112
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000112
-105.280564,35.460322,Low,38,TECOLOTE,3036,TTC000112
-105.777785,39.79832,Low,43,BERTHOUD PASS,301,TTC000113
-105.081092,40.308317,Low,39,BERTHOUD,3783,TTC000113
-105.777785,39.79832,Low,43,BERTHOUD PASS,301,TTC000114
-105.081092,40.308317,Low,39,BERTHOUD,3783,TTC000114
-105.777785,39.79832,Low,43,BERTHOUD PASS,301,TTC000115
-105.081092,40.308317,Low,39,BERTHOUD,3783,TTC000115
-105.777785,39.79832,Low,43,BERTHOUD PASS,301,TTC000116
-105.081092,40.308317,Low,39,BERTHOUD,3783,TTC000116
-105.777785,39.79832,Low,43,BERTHOUD PASS,301,TTC000117
-105.081092,40.308317,Low,39,BERTHOUD,3783,TTC000117
-105.777785,39.79832,Low,43,BERTHOUD PASS,301,TTC000118
-105.081092,40.308317,Low,39,BERTHOUD,3783,TTC000118
-84.437533,45.687512,Low,41,GREAT LAKES,587,TTC000119
-84.437533,45.687512,Low,41,GREAT LAKES,587,TTC000120
-105.777785,39.79832,Low,43,BERTHOUD PASS,301,TTC000121
-105.081092,40.308317,Low,39,BERTHOUD,3783,TTC000121
-86.666827,46.516607,High,87,GRAND ISLAND,5421,TTC000122
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000124
-86.246252,45.957751,Medium,56,Near MANISTIQUE,2578,TTC000128
-98.799812,19.156319,High,84,Distance NorthWest of AMECAMECA,4812,TTC000131
-92.933598,18.198588,Medium,38,Distance NorthWest of %CERRO%,4812,TTC000131
-107.635309,25.431892,Medium,38,Distance NorthWest of %CERRO%,4812,TTC000131
-108.085261,25.265225,Medium,38,Distance NorthWest of %CERRO%,4812,TTC000131
-98.832599,19.182872,High,91,Distance NorthEast of TENANGO DEL AIRE,4601,TTC000132
-99.262508,20.251565,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-97.123016,18.875535,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-92.389963,16.992207,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-103.932939,19.83956,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.663718,21.157429,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-99.563651,19.131943,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-97.768498,20.027433,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.832599,19.182872,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-102.853043,22.311202,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.306149,20.092199,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.264345,19.276949,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-100.644405,20.556641,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.976686,20.793047,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-102.224563,23.5127,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.510123,20.880296,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.147065,18.688292,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.685874,21.105483,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.684283,20.892081,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.845598,21.189895,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.91429,21.192195,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-95.568711,16.292128,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-97.616481,19.028171,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-96.689905,18.177072,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.72529,18.645054,High,82,Distance NorthEast of TENANGO,4601,TTC000132
-98.834037,19.175592,High,82,Distance NorthEast of TENANGO,2217,TTC000132
-99.228488,19.114298,High,85,Distance North of CUERNAVACA,15838,TTC000133
-94.906639,35.966633,High,85,Distance NorthEast of TAHLEQUAH,Unavailable,TTC000137
-95.154134,36.580362,Low,45,WHITE OAK CREEK,210,TTC000138
-94.496042,33.851781,Low,45,WHITE OAK CREEK,210,TTC000138
-95.040782,34.045384,Low,45,WHITE OAK CREEK,210,TTC000138
-96.944481,36.310606,Low,39,OAK CREEK,210,TTC000138
-95.264137,36.620364,Low,39,WHITE OAK,3036,TTC000138
-98.766456,35.129779,Low,39,OAK CREEK,210,TTC000138
-95.029678,35.72565,Low,39,WHITE OAK,3036,TTC000138
-95.336625,36.676476,Low,39,WHITE OAK,14542,TTC000138
-99.17648,35.539216,Low,39,OAK CREEK,210,TTC000138
-105.403148,35.595243,Low,53,FALLS CREEK->snapped to Falls Creek,210,TTC000143
-105.402739,35.594752,Low,43,LAS VEGAS->snapped to Falls Creek,5030,TTC000143
-98.284374,35.44241,High,82,Distance EAST of  then SOUTH of HINTON,Unavailable,TTC000144
-74.199588,40.433163,High,83,KEYPORT,2137,TTC000146
-100.982802,22.149929,Low,45,SAN LUIS POTOSI,301,TTC000147
-100.627132,17.939557,Low,38,EL SALTO,3036,TTC000147
-99.735518,19.298346,Low,38,SAN LUIS,3036,TTC000147
-101.18249,20.050012,Low,38,EL SALTO,3036,TTC000147
-99.279392,19.944046,Low,38,EL SALTO,3036,TTC000147
-115.434384,30.46771,Low,38,EL SALTO,3036,TTC000147
-104.181639,21.733215,Low,38,EL SALTO,301,TTC000147
-104.115377,21.789288,Low,38,EL SALTO,301,TTC000147
-101.400247,19.855776,Low,38,EL SALTO,3036,TTC000147
-100.600727,28.230755,Low,38,SAN LUIS,3036,TTC000147
-100.550529,28.181343,Low,38,SAN LUIS,301,TTC000147
-104.575332,22.333308,Low,38,EL SALTO,3036,TTC000147
-102.121921,20.170724,Low,38,EL SALTO,3036,TTC000147
-96.373354,18.806652,Low,38,SAN LUIS,3036,TTC000147
-95.714469,18.009818,Low,38,SAN LUIS,3036,TTC000147
-102.247353,27.791608,Low,38,EL SALTO,301,TTC000147
-106.29031,29.724386,Low,38,SAN LUIS,3036,TTC000147
-88.546008,21.426318,Low,38,SAN LUIS,3036,TTC000147
-87.980172,21.297526,Low,38,SAN LUIS,3036,TTC000147
-88.943366,21.345422,Low,38,SAN LUIS,3036,TTC000147
-108.747237,25.741316,Low,38,SAN LUIS,3036,TTC000147
-107.8,27.583333,Low,38,SAN LUIS,3036,TTC000147
-111.583333,30.839303,Low,38,EL SALTO,301,TTC000147
-111.531351,30.803732,Low,38,EL SALTO,3036,TTC000147
-103.191723,19.785788,Low,38,EL SALTO,301,TTC000147
-101.269796,17.749472,Low,38,EL SALTO,3036,TTC000147
-111.074152,29.556817,Low,38,SAN LUIS,3036,TTC000147
-111.688464,29.195926,Low,38,SAN LUIS,3036,TTC000147
-92.841805,17.585141,Low,38,SAN LUIS,3036,TTC000147
-101.269796,17.749472,Low,35,SALTO,3036,TTC000147
-109.158942,26.579824,Low,34,LUIS,3036,TTC000147
-109.159249,26.579221,Low,34,LUIS,301,TTC000147
-99.258583,22.214133,Low,28,RIO VERDITO,3036,TTC000147
-99.752594,34.11147,High,99,COPPER BREAKS STATE PARK,2289,TTC000149
-97.064841,36.103636,High,89,Distance North of STILLWATER->snapped to Stillwater,Unavailable,TTC000150
-78.159444,38.713452,Medium,56,Near WASHINGTON,818,TTC000154
-92.003196,34.228431,Low,41,PINE BLUFF,11089,TTC000155
-94.537796,34.003496,High,84,Distance SouthEast of EAGLETOWN,Unavailable,TTC000156
-92.17743,35.958499,Low,33,BLANCHARD SPRING,90,TTC000157
-84.610596,45.570011,Low,40,RIGGSVILLE,3036,TTC000158
-93.263836,44.979965,High,87,MINNEAPOLIS,11946,TTC000159
-70.196999,44.23957,Low,51,ANDROSCOGGIN RIVER->snapped to Androscoggin River,210,TTC000160
-70.196999,44.23957,Low,51,ANDROSCOGGIN RIVER->snapped to Androscoggin River,210,TTC000161
-92.003196,34.228431,Low,41,PINE BLUFF,11089,TTC000162
-75.505183,40.47982,Medium,55,Near ZIONSVILLE,3036,TTC000163
-81.188156,37.77817,High,83,BECKLEY,5029,TTC000164
-87.650052,41.850033,Medium,53,Near CHICAGO,31817,TTC000165
-82.3666,28.1635,Low,38,HAMMOCKS,3036,TTC000168
-82.506218,29.491357,Low,34,ADAM,3036,TTC000168
-81.554253,24.713197,Low,41,PUMPKIN KEY,5421,TTC000169
-80.294775,25.325949,Low,41,PUMPKIN KEY,5421,TTC000169
-98.815226,18.927912,High,90,Distance NorthEast of CUAUTLA MORELOS,Unavailable,TTC000170
-98.815226,18.927912,High,82,Distance NorthEast of CUAUTLA,Unavailable,TTC000170
-98.869717,18.873324,Medium,40,Distance NorthEast of %MORELOS%,Unavailable,TTC000170
-99.228488,19.114298,High,85,Distance North of CUERNAVACA,15838,TTC000172
-115.305569,32.742416,High,85,Distance North of CUERNAVACA,17247,TTC000172
-98.94555,18.804589,High,90,CUAUTLA MORELOS,3036,TTC000173
-98.94555,18.804589,Low,37,CUAUTLA,3036,TTC000173
-99,18.75,Low,37,MORELOS,301,TTC000173
-117.646722,34.288893,Low,51,SAN GABRIEL MOUNTAINS,301,TTC000174
-117.707834,34.143897,Low,43,PALMER CANYON,1506,TTC000174
-118.105833,34.096111,Low,42,SAN GABRIEL,3174,TTC000174
-118.084235,34.126674,Low,41,SAN GABRIEL,14542,TTC000174
-118.088402,34.126952,Low,41,SAN GABRIEL,14542,TTC000174
-110.773973,31.365377,High,90,SYCAMORE CANYON,1506,TTC000175
-104.885536,31.92301,Low,64,GUADALUPE MOUNTAINS NATIONAL PARK,13217,TTC000177
-104.860504,31.891227,Low,49,GUADALUPE MOUNTAINS,301,TTC000177
-101.186967,33.689981,Low,43,CROSBYTON->snapped to White River,3699,TTC000178
-101.083789,33.458693,Low,42,WHITE RIVER LAKE->snapped to White River,873,TTC000178
-101.160352,33.666169,High,100,WHITE RIVER AT HWY 82,90,TTC000179
-101.160352,33.666169,High,100,WHITE RIVER AT HWY 82,90,TTC000180
-101.160352,33.666169,High,100,WHITE RIVER AT HWY 82,90,TTC000181
-101.159483,33.66006,High,85,Distance East of CROSBYTON,7873,TTC000182
-101.160425,33.666196,Low,42,SILVER FALLS,301,TTC000182
-101.151881,33.659417,High,97,Distance East of CROSBYTON->snapped to White River,Unavailable,TTC000183
-98.83298,18.579667,High,85,Distance NorthWest of AXOCHIAPAN,6748,TTC000184
-98.813253,18.579143,High,85,Distance NorthWest of AXOCHIAPAN,5094,TTC000184
-99.080906,18.826595,Medium,40,Distance NorthWest of %MORELOS%,5094,TTC000184
-98.810664,18.932227,High,90,Distance NorthEast of CUAUTLA MORELOS,9453,TTC000185
-98.810664,18.932227,High,82,Distance NorthEast of CUAUTLA,9453,TTC000185
-98.865157,18.877638,Medium,40,Distance NorthEast of %MORELOS%,8151,TTC000185
-105.289436,38.945825,Low,40,FLORISSANT,3036,TTC000186
-105.289436,38.945825,Low,40,FLORISSANT,3036,TTC000187
-105.289436,38.945825,Low,40,FLORISSANT,3036,TTC000188
-104.885536,31.92301,Low,64,GUADALUPE MOUNTAINS NATIONAL PARK,13217,TTC000189
-104.860504,31.891227,Low,49,GUADALUPE MOUNTAINS,301,TTC000189
-104.75467,31.979282,Low,47,MCKITTRICK CANYON,1506,TTC000189
-104.486716,32.420411,High,84,Distance West of CARLSBAD,Unavailable,TTC000190
-104.486716,32.420411,High,84,Distance West of CARLSBAD,Unavailable,TTC000191
-111.456772,31.865916,Low,43,SABINO CANYON,1506,TTC000192
-110.809812,32.322298,Low,43,SABINO CANYON,1506,TTC000192
-110.801776,33.299794,High,87,Distance North of PIONEER PASS,2702,TTC000193
-110.821221,33.312016,Medium,48,Distance North of %PINAL MOUNTAINS%,3700,TTC000193
-110.75372,33.405903,Medium,38,Distance North of %PINAL%,4718,TTC000193
-98.94555,18.804589,High,90,CUAUTLA MORELOS,3036,TTC000194
-98.94555,18.804589,Low,37,CUAUTLA,3036,TTC000194
-99,18.75,Low,37,MORELOS,301,TTC000194
-98.810664,18.932227,High,90,Distance NorthEast of CUAUTLA MORELOS,9453,TTC000195
-98.810664,18.932227,High,82,Distance NorthEast of CUAUTLA,9453,TTC000195
-98.865157,18.877638,Medium,40,Distance NorthEast of %MORELOS%,8151,TTC000195
-104.885536,31.92301,Low,64,GUADALUPE MOUNTAINS NATIONAL PARK,13217,TTC000197
-104.860504,31.891227,Low,49,GUADALUPE MOUNTAINS,301,TTC000197
-104.75467,31.979282,Low,47,MCKITTRICK CANYON,1506,TTC000197
-104.228838,32.420674,Low,39,CARLSBAD,12852,TTC000199
-107.636414,32.085092,Low,34,PARK,301,TTC000199
-105.67443,33.849518,Medium,55,Near PINE LODGE,301,TTC000200
-105.244987,33.62314,Medium,55,Near PINE LODGE,3036,TTC000200
-105.572204,33.545357,Low,38,CAPITAN,3739,TTC000200
-105.67443,33.849518,Medium,55,Near PINE LODGE,301,TTC000201
-105.244987,33.62314,Medium,55,Near PINE LODGE,3036,TTC000201
-105.572204,33.545357,Low,38,CAPITAN,3739,TTC000201
-105.959125,33.641714,High,85,Distance West of CARRIZOZO,7860,TTC000202
-101.715841,33.577785,High,83,Distance East of LUBBOCK,23946,TTC000203
-101.692107,33.534531,Low,50,BUFFALO SPRINGS LAKE,587,TTC000203
-101.704538,33.533801,Low,50,BUFFALO SPRINGS LAKE,873,TTC000203
-101.708218,33.532031,Low,46,BUFFALO SPRINGS,2643,TTC000203
-101.708774,33.541753,Low,45,BUFFALO SPRINGS,90,TTC000203
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000204
-105.403148,35.595243,Low,53,FALLS CREEK->snapped to Falls Creek,210,TTC000205
-105.402739,35.594752,Low,43,LAS VEGAS->snapped to Falls Creek,5030,TTC000205
-105.289436,38.945825,High,85,FLORISSANT,3036,TTC000206
-105.289436,38.945825,High,85,FLORISSANT,3036,TTC000207
-105.289436,38.945825,High,85,FLORISSANT,3036,TTC000208
-105.289436,38.945825,High,85,FLORISSANT,3036,TTC000209
-106.400307,39.532208,Low,40,ROCK CREEK,210,TTC000210
-105.488054,40.214985,Low,40,ROCK CREEK,210,TTC000210
-106.125299,39.723875,Low,40,ROCK CREEK,210,TTC000210
-106.573366,39.578875,Low,40,ROCK CREEK,210,TTC000210
-104.115228,40.185815,Low,40,ROCK CREEK,210,TTC000210
-105.064983,39.985818,Low,40,ROCK CREEK,210,TTC000210
-108.83677,37.334993,Low,40,ROCK CREEK,210,TTC000210
-106.380026,39.211101,Low,40,ROCK CREEK,210,TTC000210
-106.730594,39.902209,Low,40,ROCK CREEK,210,TTC000210
-106.22947,40.063041,Low,40,ROCK CREEK,210,TTC000210
-107.892856,40.722468,Low,40,ROCK CREEK,210,TTC000210
-106.184468,40.452204,Low,40,ROCK CREEK,210,TTC000210
-107.052546,39.023601,Low,40,ROCK CREEK,210,TTC000210
-106.5567,39.787764,Low,40,ROCK CREEK,210,TTC000210
-108.804824,39.14637,Low,40,ROCK CREEK,210,TTC000210
-107.38533,39.189428,Low,40,ROCK CREEK,210,TTC000210
-105.760559,38.645274,Low,40,ROCK CREEK,210,TTC000210
-105.91529,38.256388,Low,40,ROCK CREEK,210,TTC000210
-106.766982,38.32916,Low,40,ROCK CREEK,210,TTC000210
-105.785019,37.393063,Low,40,ROCK CREEK,210,TTC000210
-104.763312,38.262503,Low,40,ROCK CREEK,210,TTC000210
-106.176964,38.936384,Low,40,ROCK CREEK,210,TTC000210
-105.963901,38.45722,Low,40,ROCK CREEK,210,TTC000210
-104.73414,38.641664,Low,40,ROCK CREEK,210,TTC000210
-105.453054,39.393045,Low,40,ROCK CREEK,210,TTC000210
-107.62589,37.100282,Low,40,ROCK CREEK,210,TTC000210
-102.527977,40.32471,Low,40,ROCK CREEK,210,TTC000210
-105.698342,39.2886,Low,40,ROCK CREEK,210,TTC000210
-107.52367,37.654444,Low,40,ROCK CREEK,210,TTC000210
-107.039215,38.12444,Low,40,ROCK CREEK,210,TTC000210
-107.004212,38.971102,Low,40,ROCK CREEK,210,TTC000210
-107.478114,37.943885,Low,40,ROCK CREEK,210,TTC000210
-109.101,40.29457,Low,24,K CREEK,210,TTC000210
-103.133823,36.997242,Low,40,BLACK MESA,1807,TTC000211
-103.133823,36.997242,Low,40,BLACK MESA,1807,TTC000212
-105.959125,33.641714,High,85,Distance West of CARRIZOZO,7860,TTC000214
-94.070758,36.402018,Medium,51,Near AVOCA,2090,TTC000215
-93.974089,36.448405,Low,39,GARFIELD,4694,TTC000215
-94.118537,36.33202,Low,37,ROGERS,10727,TTC000215
-104.75467,31.979282,Low,47,MCKITTRICK CANYON,1506,TTC000216
-104.885536,31.916701,Medium,67,Distance South of %GUADALUPE MOUNTAINS NATIONAL PARK%,13531,TTC000217
-104.860504,31.884918,Medium,52,Distance South of %GUADALUPE MOUNTAINS%,782,TTC000217
-104.880227,31.923251,Medium,46,Distance South of %BUSH MOUNTAIN%,2169,TTC000217
-104.821996,31.898704,Low,41,PINE SPRING,90,TTC000217
-99.882044,34.196743,Low,41,BULL CANYON,1506,TTC000218
-99.166667,19.25,Low,46,DISTRITO FEDERAL,301,TTC000219
-99.105126,19.257848,Low,40,XOCHIMILCO,3036,TTC000219
-99.244797,34.000687,Medium,42,Near STONE TANK,873,TTC000220
-103.533789,29.774627,Medium,42,Near STONE TANK,873,TTC000220
-101.889568,29.797977,Low,41,BEAR CANYON,1506,TTC000220
-103.880462,30.754595,Low,41,BEAR CANYON,1506,TTC000220
-103.376568,29.9599,Low,41,BEAR CANYON,1506,TTC000220
-103.633233,30.742376,Low,41,BEAR CANYON,1506,TTC000220
-103.592126,29.987394,Low,41,BEAR CANYON,1506,TTC000220
-99.620331,29.744112,Low,41,BEAR CANYON,1506,TTC000220
-98.34005,32.669573,Low,41,BEAR CANYON,1506,TTC000220
-103.62518,30.287936,Low,41,BEAR CANYON,1506,TTC000220
-101.918802,34.980334,Low,37,CANYON,4423,TTC000220
-101.731553,33.592863,Low,36,CANYON,3036,TTC000220
-98.718098,31.195723,Low,39,SAN SABA,2631,TTC000222
-110.692309,32.287615,High,98,Distance South of MOLINO BASIN CAMPGROUND,6272,TTC000223
-110.696476,32.284837,High,87,Distance South of MOLINO BASIN,4507,TTC000223
-110.70537,32.430353,Low,54,SANTA CATALINA MOUNTAINS,301,TTC000223
-110.921111,32.505556,Low,39,CATALINA,5372,TTC000223
